#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	SAI	CAN_TOP	CAN_BOTT	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1	1	60	150	3.4	3.4	3.5	3.7	4	4.4	4.4	4.3	4.2	3.7	3.5	3.4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	2	17	6	50	30	0.5	0.5	0.2	Evergreen Needleleaf
2	1	60	150	3.4	3.4	3.5	3.7	4	4.4	4.4	4.3	4.2	3.7	3.5	3.4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	2	35	1	50	30	0.5	0.5	0.2	Evergreen Broadleaf
3	1	60	150	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	2	14	2	50	30	0.5	0.5	0.2	Deciduous Needleleaf
4	1	60	150	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	2	20	11	50	30	0.5	0.5	0.2	Deciduous Broadleaf
5	1	60	140	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	2	8	4	50	50	0.5	0.5	0.2	Mixed Cover
6	1	60	125	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	2.1	14	6	50	50	0.5	0.5	0.2	Woodland
7	0	40	125	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	2.6	8	4	5	75	0.5	0.5	0.2	Wooded Grasslands
8	0	50	135	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	2.4	5	2	5	75	0.5	0.5	0.2	Closed Shrublands
9	0	50	135	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	1.9	4	0	5	75	0.5	0.5	0.2	Open Shrublands
10	0	25	50	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3.7	0.6	0	3	100	0.5	0.5	0.2	Grasslands
11	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	0.7	0.6	0	2	100	0.5	0.5	0.2	Crop land (corn)
